offset_hex,offset_dec,opcode,default_value,system,effect,confidence,patch_count,all_offsets,notes
0x253f7,152567,0x43 (f32.const),-10,Gravity,Gravitational acceleration (m/s^2). Lower = stronger pull down.,High,7,0x253f7 0x3edc2 0x3eddc 0x540e5 0x540fb 0x54129 0x5413f,Appears in 7 functions (vehicle dynamics/tire/normal). PATCH ALL 7 or physics desyncs.
0x25415,152597,0x43 (f32.const),-20,Gravity,Paired clamp/limit next to gravity site 1.,Low,1,0x25415,Likely a downforce/velocity clamp; verify empirically.
0x2f840,194624,0x43 (f32.const),4000,Engine,Drive/engine force applied on throttle.,Medium,1,0x2f840,Single site. Raise for more acceleration.
0x2f8f3,194803,0x43 (f32.const),-2000,Engine,Brake/reverse force clamp (per axis).,Medium,3,0x2f8f3 0x2f8fb 0x2f902,3 components of one vec3 clamp. Patch all 3.
0x2f8e7,194791,0x43 (f32.const),100,Engine,Force scaling factor in drive/brake formula.,Low,1,0x2f8e7,Part of the throttle force computation.
0x2faba,195258,0x43 (f32.const),155,Mass,Chassis mass (kg).,High,1,0x2faba,"Heavier = more momentum, slower accel."
0x2fac4,195268,0x43 (f32.const),46,Mass,Wheel/secondary mass (kg).,Medium,2,0x2fac4 0x2facb,Two sites; patch both.
0x2fa37,195127,0x43 (f32.const),30,Steering,Max steering angle / steering scale.,Low,1,0x2fa37,Single site; tune and observe.
0x2fad2,195282,0x43 (f32.const),1.5499999523162842,Geometry,Wheelbase / wheel Z offset.,Low,1,0x2fad2,Chassis-relative length term.
0x2fa9a,195226,0x43 (f32.const),0.41025805473327637,Geometry,"Track half-width (wheel X position, +/- per side).",Medium,4,0x2fa9a 0x2faa1 0x2faaa 0x2fab1,"First 2 are +, last 2 are -0.41. Patch as +/- pair."
0x2fbef,195567,0x43 (f32.const),200,Per-wheel,Per-wheel tuning A (suspension stiffness / friction).,Low,4,0x2fbef 0x2fc19 0x2fc44 0x2fc6f,Repeats x4 (one per wheel).
0x2fbf3,195571,0x43 (f32.const),131073.046875,Per-wheel,"Per-wheel tuning B (max suspension force, near-uncapped).",Low,4,0x2fbf3 0x2fc1d 0x2fc48 0x2fc73,Repeats x4.
0x2fbf4,195572,0x43 (f32.const),50,Per-wheel,Per-wheel tuning C (friction slip / grip).,Low,4,0x2fbf4 0x2fc1e 0x2fc49 0x2fc74,Repeats x4. Higher = more grip.
0x2fbfe,195582,0x43 (f32.const),-0.20000000298023224,Per-wheel,Per-wheel roll influence.,Low,4,0x2fbfe 0x2fc29 0x2fc54 0x2fc7f,Repeats x4. Bullet roll influence (default ~0.1).
0x30141,196929,0x43 (f32.const),-0.15000000596046448,Suspension,Wheel connection point height (chassis-relative).,Low,3,0x30141 0x3019f 0x301eb,x3 sites.
0x30151,196945,0x43 (f32.const),0.47999998927116394,Suspension,Suspension rest length / travel.,Low,3,0x30151 0x301af 0x301fb,x3 sites.
0x30388,197512,0x43 (f32.const),-1.350000023841858,Suspension,Wheel connection point Z (front/back offset).,Low,3,0x30388 0x303c6 0x30400,x3 sites.
0x303b7,197559,0x43 (f32.const),0.3499999940395355,Suspension,Wheel connection point Y / rest height.,Low,3,0x303b7 0x303f1 0x3041c,x3 sites.
